x,y,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On
-87.65336282,41.945412776,4453050,HL750198,11/22/2005 11:30:00 AM,009XX W CORNELIA AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,2331,019,44,6,05,1169233,1923432,2005,02/10/2018 03:50:01 PM
-87.61660349,41.75381297,7309277,HS113114,01/10/2010 01:00:00 AM,077XX S CALUMET AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,STREET,false,true,0623,006,6,69,14,1179816,1853695,2010,02/10/2018 03:50:01 PM
-87.66337168,41.747758596,3196809,HK204232,02/25/2004 05:27:43 PM,080XX S ASHLAND AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0611,006,21,71,14,1167072,1851386,2004,02/28/2018 03:56:25 PM
-87.595860248,41.810771096,7340846,HS142011,01/29/2010 08:55:00 AM,012XX E 46TH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,2123,002,4,39,07,1185298,1874498,2010,02/10/2018 03:50:01 PM
-87.610914559,41.758481071,9875540,HX526443,12/01/2014 02:15:00 PM,005XX E 75TH ST,5011,OTHER OFFENSE,LICENSE VIOLATION,SMALL RETAIL STORE,false,false,0323,003,6,69,26,1181354,1855409,2014,02/10/2018 03:50:01 PM
-87.656992556,41.751519343,4655068,HM243924,03/21/2006 07:00:00 AM,078XX S ADA ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0612,006,17,71,14,1168802,1852770,2006,02/28/2018 03:56:25 PM
-87.766715318,41.780683796,11789023,JC386128,08/09/2019 09:15:00 PM,061XX S MENARD AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,true,true,0812,008,13,64,26,1138792,1863181,2019,08/16/2019 04:17:00 PM
-87.617244627,41.721840277,3407088,HK464279,06/30/2004 07:00:00 AM,002XX E 95TH ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,true,0633,006,6,49,26,1179738,1842043,2004,02/10/2018 03:50:01 PM
-87.62416567,41.891984471,8486670,HV163408,01/10/2012 08:08:00 PM,005XX N MICHIGAN AVE,0810,THEFT,OVER $500,DEPARTMENT STORE,true,false,1834,018,42,8,06,1177337,1904027,2012,02/10/2018 03:50:01 PM
-87.685056838,41.771950534,6376858,HP464183,07/19/2008 09:00:00 PM,024XX W MARQUETTE RD,0820,THEFT,$500 AND UNDER,STREET,false,false,0832,008,15,66,06,1161088,1860156,2008,02/28/2018 03:56:25 PM
-87.663519144,42.001920687,7175397,HR585792,10/11/2009 12:00:00 PM,065XX N LAKEWOOD AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,2432,024,40,1,14,1166309,1944002,2009,02/28/2018 03:56:25 PM
-87.654726708,41.74222199,4249751,HL565974,08/23/2005 04:38:24 AM,083XX S ELIZABETH ST,0810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,false,false,0613,006,21,71,06,1169447,1849387,2005,02/10/2018 03:50:01 PM
-87.629204627,41.841471897,3857139,HL231202,03/12/2005 10:00:00 PM,029XX S FEDERAL ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,CHA APARTMENT,true,false,2113,001,3,35,08B,1176116,1885609,2005,02/28/2018 03:56:25 PM
-87.678718749,41.917736482,5616407,HN425682,06/24/2007 06:00:00 AM,020XX W ARMITAGE AVE,0890,THEFT,FROM BUILDING,APARTMENT,false,false,1432,014,32,22,06,1162412,1913293,2007,02/28/2018 03:56:25 PM
-87.627758662,41.687579293,4873290,HM466470,07/10/2006 01:00:00 PM,113XX S WENTWORTH AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,0522,005,34,49,05,1176970,1829535,2006,02/28/2018 03:56:25 PM
-87.586451255,41.780155491,9047305,HW191983,03/14/2013 09:10:00 AM,063XX S STONY ISLAND AVE,0890,THEFT,FROM BUILDING,ATHLETIC CLUB,false,false,0314,003,20,42,06,1187960,1863364,2013,02/10/2018 03:50:01 PM
-87.622769196,41.806824289,6183842,HP271736,04/10/2008 10:00:00 AM,048XX S MICHIGAN AVE,0460,BATTERY,SIMPLE,HOTEL/MOTEL,false,false,0231,002,3,38,08B,1177974,1872998,2008,02/28/2018 03:56:25 PM
-87.561200594,41.744414274,1558305,G315524,05/30/2001 10:00:00 PM,026XX E 83 ST,0820,THEFT,$500 AND UNDER,TAVERN/LIQUOR STORE,false,false,0423,004,,,06,1194964,1850401,2001,08/17/2015 03:03:40 PM
-87.68479102,41.877565108,2900633,HJ575072,08/20/2003 03:00:00 PM,023XX W JACKSON BLVD,0460,BATTERY,SIMPLE,CHA PARKING LOT/GROUNDS,false,false,1211,012,2,28,08B,1160870,1898642,2003,02/28/2018 03:56:25 PM
-87.67655155,41.909793282,9105270,HW249716,04/27/2013 04:00:00 AM,015XX N MILWAUKEE AVE,1330,CRIMINAL TRESPASS,TO LAND,BAR OR TAVERN,true,false,1424,014,1,24,26,1163024,1910403,2013,02/10/2018 03:50:01 PM
-87.606098558,41.69741442,8410561,HT643092,11/01/2011 10:00:00 AM,108XX S LANGLEY AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,OTHER,false,false,0513,005,9,50,26,1182856,1833168,2011,02/10/2018 03:50:01 PM
-87.61843206,41.794437143,9009166,HW156395,02/14/2013 11:30:00 AM,003XX E GARFIELD BLVD,0810,THEFT,OVER $500,CTA TRAIN,false,false,0231,002,3,40,06,1179194,1868494,2013,02/10/2018 03:50:01 PM
-87.58425861,41.805679494,11607204,JC166180,02/25/2019 08:00:00 PM,049XX S LAKE SHORE DR SB,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,false,true,0222,002,5,39,26,1188477,1872670,2019,03/04/2019 04:05:15 PM
-87.629573084,41.903927715,4367408,HL662273,10/08/2005 08:30:00 PM,0000X W DIVISION ST,0890,THEFT,FROM BUILDING,OTHER,false,false,1824,018,42,8,06,1175829,1908367,2005,02/28/2018 03:56:25 PM
-87.724915824,41.870833505,1453290,G184121,04/01/2001 03:00:00 AM,039XX W POLK ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1132,011,,,14,1149960,1896109,2001,08/17/2015 03:03:40 PM
-87.727106868,41.931896171,1909884,G758222,10/24/2001 03:58:00 AM,040XX W DIVERSEY AV,0820,THEFT,$500 AND UNDER,WAREHOUSE,false,false,2523,025,,,06,1149206,1918356,2001,08/17/2015 03:03:40 PM
-87.664683064,41.803222941,1863086,G705615,11/24/2001 11:07:02 AM,049XX S ASHLAND AV,1310,CRIMINAL DAMAGE,TO PROPERTY,STREET,false,false,0931,009,,,14,1166557,1871594,2001,08/17/2015 03:03:40 PM
